name,price,cuisine,reviews,Location url,location,no. of reviews,City
ARK Vaishno Dhaba,?100 for one,Chinese,4.1,https://www.zomato.com/jalandhar/ark-vaishno-dhaba-maqsudan/order,Maqsudan,"6,741",Jalandhar
Hari Burger,?100 for one,Burger,4.1,https://www.zomato.com/jalandhar/hari-burger-adarsh-nagar/order,Adarsh Nagar,32.9K,Jalandhar
Hari Burger,?100 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/hari-burger-adarsh-nagar/order,Adarsh Nagar,32.9K,Jalandhar
Hari Burger,?100 for one,Chinese,4.1,https://www.zomato.com/jalandhar/hari-burger-adarsh-nagar/order,Adarsh Nagar,32.9K,Jalandhar
Hari Burger,?100 for one,Beverages,4.1,https://www.zomato.com/jalandhar/hari-burger-adarsh-nagar/order,Adarsh Nagar,32.9K,Jalandhar
Muscleholics,?100 for one,Healthy Food,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Sandwich,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Salad,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Italian,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Wraps,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Desserts,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Beverages,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Muscleholics,?100 for one,Shake,4.2,https://www.zomato.com/jalandhar/muscleholics-adarsh-nagar/order,Adarsh Nagar,"1,550",Jalandhar
Sweety Juice Bar & Restaurant,?100 for one,Beverages,4.2,https://www.zomato.com/jalandhar/sweety-juice-bar-restaurant-shastri-nagar/order,Shastri Nagar,10.3K,Jalandhar
